,pdf_name,page,id,legible_name,Legal_Issues,Facts,Arguments,judges,petitioners,respondant
0,A_K_Roy_Etc_vs_Union_Of_India_And_Anr_on_28_December_1981.PDF,1,06311309-d083-4bfd-9b1e-d0688c23e3e4,A K Roy Etc vs Union Of India And Anr on 28 December 1981.PDF,"The legal issue in the case revolves around the rights of individuals in proceedings before Advisory Boards, particularly in matters of detention. The issue at hand concerns the right to legal representation and assistance for individuals facing detention. The argument presented emphasizes the importance of ensuring that individuals are not deprived of their right to be heard and assisted by someone who can help them navigate the legal proceedings effectively.

Furthermore, the case raises the question of whether denying legal representation constitutes a denial of natural justice. It highlights the necessity for individuals facing detention to have the opportunity to present their case coherently with the aid of a friend or advisor, especially when they may be overwhelmed or lacking in composure due to their circumstances.

Additionally, the case discusses the right to cross-examination as a fundamental aspect of due process. It references decisions from the American Supreme Court to support the argument that individuals should have the opportunity to confront and cross-examine adverse witnesses in proceedings that involve important factual determinations.

Overall, the legal issue in the case pertains to the rights of individuals facing detention, including the right to legal representation, assistance from a friend or advisor, and the right to cross-examination in order to ensure a fair and just process.","1. The case involves the termination or potential termination of welfare aid for recipients.
2. The U.S. Supreme Court decisions on due process under the American Constitution are discussed.
3. The rejection of incorporating the due process clause in Article 21 of the Indian Constitution is highlighted.
4. Divergent views within the U.S. judiciary on the due process clause are mentioned.
5. The importance of evolving solutions under the Indian Constitution while considering international jurisprudence is emphasized.
6. The question of whether the right of cross-examination is a fundamental part of natural justice is explored.
7. The principles of natural justice are described as evolving and adaptable to the context of each case.
8. The difficulty of claiming the right of cross-examination in proceedings before an Advisory Board in cases of preventive detention is explained.
9. The necessity to tailor procedural protections according to the specific situation of each case is underlined.
10. The importance of considering the constitution of the statutory body in determining the observance of natural justice rules is mentioned.","1. Scope and limitations of the ordinance-making power were emphasized.
2. Vagueness and unreasonableness of the provisions of the Act were highlighted.
3. Punitive conditions of detention were brought to attention.
4. Effect of the 44th Constitution Amendment Act and the validity of its section 1(2) were discussed.
5. Questions regarding the fulfillment of pre-conditions of the exercise of the ordinance-making power were raised.
6. Non-implementation by the Central Government of the provisions of the 44th Amendment regarding the composition of the Advisory Boards was addressed.","1. Y.V. Chandrachud
2. P.N. Bhagwati
3. A.C. Gupta
4. V.D. Tulzapurkar
5. D.A. Desai",A. K. Roy,Union of India and Anr
68,Adi_Saiva_Sivachariyargal_N_Sangam_vs_Govt_Of_Tamil_Nadu_Anr_on_16_December_2015.PDF,1,a1101cfb-74d8-411f-86a9-802017e20ccc,Adi Saiva Sivachariyargal N Sangam vs Govt Of Tamil Nadu Anr on 16 December 2015.PDF,"The legal issue in the case revolves around the appointment of priests in Hindu temples based on traditional practices and customs. Specifically, the case questions whether the appointment of priests should be restricted to a particular denomination or group as prescribed by the Agamas, which are treatises governing temple practices. The challenge arises from a long-standing practice in a temple where priests were exclusively appointed from a specific group, and the appointment of a non-member of that group was contested.

The case delves into the interpretation of fundamental rights guaranteed under Articles 25 and 26 of the Constitution, which provide for the freedom of religion and the right of religious denominations to manage their own affairs. It examines whether the rights claimed based on caste or lineage can be protected under these constitutional provisions. The court analyzes previous decisions, including the Seshammal case, to determine the extent to which traditional practices can be upheld in the face of constitutional values, public policy, and social decency.

Ultimately, the legal issue at hand is to ascertain whether the appointment of priests in a Hindu temple can be restricted to a specific group based on traditional practices, or if such restrictions violate constitutional principles of equality, non-discrimination, and freedom of religion. The case aims to strike a balance between respecting religious customs and ensuring adherence to constitutional values and public policy.","1. The case involves a challenge by a Namboodri Brahmin to the appointment of a non-Namboodri Brahmin as a priest in a temple.
2. The challenge was based on the long-standing practice of appointing priests exclusively from Namboodri Brahmins.
3. The petitioner argued that appointing a non-Namboodri Brahmin violated the rights of Namboodri Brahmins under Article 25 and 26 of the Constitution.
4. The court considered various earlier decisions, including the decision in Adithayan, and held that rights based solely on caste cannot be protected under Article 25 and 26.
5. It was further held that barring duly qualified individuals from performing Poojas based on caste is against constitutional values and public policy.
6. The court emphasized that the issue in the case was not about exclusion based on caste, unlike in the Seshammal case.
7. The case also discussed the understanding of Hinduism and the rights of religious denominations to manage their own affairs within the limits of the law.","1. The freedom of hereditary succession to the office of Archaka is abolished, which is considered essential and integral to the faith of Saivite and Vaishnavite worshippers.
2. The government is given the authority to determine the qualifications for applicants to religious offices without clear principles outlined in the Act, leading to concerns about government interference in religious matters.
3. The Amendment Act allows trustees, under government control, to appoint office bearers for temples, contradicting the freedom of religion and the denomination's right to manage their religious affairs independently.",N.V. Ramana and Ranjan Gogoi,1. Adi Saiva Sivachariyargal N.Sangam,"1. The Government of Tamil Nadu
2. Anr"
87,All_India_Anna_Dravida_Munmnetra_vs_L_K_Tripathi_Ors_on_1_April_2009.PDF,1,c5d78662-8451-4a22-931c-adc073b19bb5,All India Anna Dravida Munmnetra vs L K Tripathi Ors on 1 April 2009.PDF,"The legal issue in the case revolves around the compliance with court decisions by State and local authorities. The court emphasizes the importance of active support by State and local authorities in upholding the decisions of the court as the constitutional organ of the supreme law of the land. The case questions whether the State Government took adequate measures to prevent the construction activities carried out by a congregation of Sadhus at a particular site, despite the court's directives. It raises concerns about the responsibility of officials, including high-ranking officials, for acts done without legal justification and in excess of their lawful authority. The case delves into the concept of legal equality and the universal subjection of all individuals to the ordinary law of the realm, regardless of their rank or position. It also touches upon the potential consequences of using political power to hinder the enforcement of the law and the implications for the federal system.","1. Respondent no.1 issued telephonic instructions to District Collectors to maintain law and order after news of a restraint order was telecast.
2. Respondent no.1 sent a copy of the Court's order to respondent no.2 for necessary action, mobilizing police forces and providing security to various vital installations and public places.
3. Respondent no.2 detailed steps taken to ensure police presence at important locations and denied allegations of workers forcibly closing establishments with weapons.
4. Respondent no.3 outlined measures taken to ensure normal operation of State Transport Services.
5. Respondent nos. 1 to 3 were not found to have deliberately disobeyed the Court's order as private transport operators did not operate services on the specified date.
6. Allegations against respondent no.4 for contempt were rejected due to lack of evidence showing direct involvement in coercing people to close establishments during the bandh.
7. Allegations against respondent no.6 for scandalizing the judiciary were not substantiated as primary evidence of the speech made by him was not provided, and the admissibility of tape recorded versions was questioned.","1. Respondent no.1 stated that telephonic instructions were given to District Collectors to maintain law and order after the news of the restraint order was telecast.
2. Respondent no.1 sent a copy of the Court's order to respondent no.2 with instructions to take necessary action, mobilizing the police force and providing security to various vital installations and public places.
3. Respondent no.2 denied allegations that workers of a political party forcibly closed businesses using weapons to convey threats to the public.
4. Respondent no.3 detailed steps taken to ensure the normal operation of State Transport Services.
5. Respondent no.4 was defended against contempt accusations as no concrete evidence was provided to prove coercion or violence by members of his party in closing establishments during the bandh.
6. Respondent no.6 denied allegations of making a speech that scandalized the judiciary, claiming that the telecasted version was doctored. The petitioners were criticized for not providing primary evidence to substantiate their claims.","G.S. Singhvi, B.N. Agrawal",All India Anna Dravida Munnetra Kazhagam,"1. L.K. Tripathi
2. M. Karunanidhi"
113,Animal_Welfare_Board_Of_India_vs_A_Nagaraja_Ors_on_7_May_2014.PDF,1,c9233a1c-00c1-4634-bfe8-ce65e7d802b1,Animal Welfare Board Of India vs A Nagaraja Ors on 7 May 2014.PDF,"The legal issue in the case revolves around the conflict between the rights of animals under various laws and regulations, particularly in relation to the conduct of activities like Jallikattu and Bullock-cart races in the states of Tamil Nadu and Maharashtra. The central focus is on determining whether these activities, as conducted, violate the provisions of the Prevention of Cruelty to Animals Act, 1960, and other relevant laws. The case also delves into the question of whether the state laws, such as the Tamil Nadu Regulation of Jallikattu Act, 2009, are in conflict with the central legislation, given the principles of repugnancy between state and central laws. Additionally, the issue of whether animals like bulls can be considered performing animals for such events, considering their natural characteristics and the welfare legislation in place, is a key aspect of the legal debate.","1. The case involves challenges to the conduct of Jallikattu and Bullock-cart races in Tamil Nadu and Maharashtra under the Prevention of Cruelty to Animals Act, 1960, and other relevant laws.
2. The Animal Welfare Board of India (AWBI) has taken a stand that these events violate animal welfare laws by causing unnecessary pain and suffering to the animals involved.
3. The AWBI has highlighted through reports, affidavits, and photographs the physical and mental torture inflicted on bulls during Jallikattu and Bullock-cart races.
4. The situation is described as cruel, barbaric, inhuman, and savage in both Tamil Nadu and Maharashtra, with specific details provided on the torture and cruelty faced by the animals.
5. Despite regulatory provisions and directions issued by the court, the conduct of these events continues unchecked, with no effective action taken by authorities to prevent the animals from being subjected to torture and cruelty.","1. The Animal Welfare Board of India (AWBI) argues that activities like Jallikattu and Bullock-cart races violate provisions of the Prevention of Cruelty to Animals Act, particularly Sections 3, 11(1)(a) & (m), and Section 22.
2. AWBI contends that these activities cause unnecessary pain and suffering to animals, going against the welfare legislation like the PCA Act.
3. AWBI asserts that Jallikattu and Bullock-cart races do not hold historical, cultural, or religious significance that would exempt them from the provisions of the PCA Act.
4. The argument is made that bulls used in Jallikattu and Bullock-cart races are not considered performing animals under the PCA Act, justifying the ban imposed by the Ministry of Environment and Forests in 2011.
5. The case also involves a discussion on the repugnancy between the Tamil Nadu Regulation of Jallikattu Act, a State Act, and the Prevention of Cruelty to Animals Act, a Central Act, under Entry No. 17 of the Concurrent List.","Pinaki Chandra Ghose, K.S. Radhakrishnan","1. Animal Welfare Board of India
2. PETA",A. Nagaraja & Ors.
156,Anuradha_Bhasin_vs_Union_Of_India_on_10_January_2020.PDF,1,75a431c3-6e7b-4cee-ac86-7b753fb6e75a,Anuradha Bhasin vs Union Of India on 10 January 2020.PDF,"The legal issue in the case revolves around the imposition of orders under Section 144 of the Criminal Procedure Code (Cr.P.C.) in the erstwhile State of Jammu and Kashmir. The primary concern is the impact of these orders on the fundamental rights of the public and the necessity for such orders to be reasoned and notified. The court emphasizes the importance of ensuring that these orders are not passed in a casual or cavalier manner, as they directly affect the rights of individuals. The court underscores the need for the magistrate to provide written orders stating the material facts that led to the imposition of such restrictions. Additionally, the court discusses the scope of judicial review concerning orders passed under Section 144, Cr.P.C., particularly in cases related to law and order issues. The court also addresses the argument regarding national security and the proportionality doctrine in such matters. Overall, the legal issue in the case pertains to the proper exercise of power under Section 144, Cr.P.C., ensuring that it is used responsibly and in accordance with the law while safeguarding individual rights and allowing for judicial review when necessary.","1. Orders passed on 04.08.2019 were being challenged.
2. Argument for the necessity of publication of orders for them to have the force of law.
3. Emphasis on the importance of making orders available and accessible to the public.
4. Need for the State to demonstrate the necessity of measures restricting fundamental rights.
5. Reference to the test of proportionality in evaluating restrictions on citizens' fundamental rights.
6. Submission by the Petitioner's counsel regarding suffering due to restrictions despite being law-abiding citizens.
7. Mention of the House of Lords judgment of Liversidge v. Anderson and upholding fundamental rights.
8. Attorney General's support for preventive measures citing background of terrorism in Jammu and Kashmir.
9. Justification for orders under Section 144, Cr.P.C. based on the threat of violence and past incidents.
10. Solicitor General's assertion of the State's duty to ensure security and protect citizens' lives, limbs, and property.
11. Dispute over the accuracy of information presented by Petitioners and Intervenors regarding the situation in Jammu and Kashmir.
12. Historical context of Jammu and Kashmir's victimization by physical and digital cross-border terrorism.
13. Impact of the abrogation of Article 370 on the rights of citizens in Jammu and Kashmir.
14. Clarification on restrictions on public and individual movement, school closures, and gradual relaxation of restrictions based on threat perception.
15. Magistrates' authority to pass orders under Section 144, Cr.P.C. based on the ground situation and threat perception.
16. Assertion that people in Jammu and Kashmir are leading ordinary lives, with functioning media and essential facilities provided by the Government.
17. Justification for preventive nature of orders under Section 144, Cr.P.C. to maintain public safety.
18. Reference to legal precedents supporting the justification of orders in the interest of the security of the State.
19. Explanation for the difficulty in segregating troublemakers from ordinary citizens to impose restrictions on specific individuals.","1. Restrictions on freedom of speech should be reasonable as per Article 19 of the Constitution and need to be tested for proportionality.
2. Section 144, Cr.P.C. orders should be based on objective material, not conjectures.
3. Balancing national security measures with citizens' rights is crucial, drawing parallels with international cases like the Israeli Supreme Court's ruling on torture during interrogation.
4. Emphasis on the temporary nature of restrictions imposed, which have lasted for more than 100 days.
5. Any action of the State must demonstrate essential features like backing of a law, legitimacy of purpose, rational connection of the act and object, necessity of the action, and proportionality.","B. R. Gavai, R. Subhash Reddy, N.V. Ramana",Anuradha Bhasin and Ghulam Nabi Azad,The respondents in this case are Union of India and others.
212,Ashoka_Kumar_Thakur_vs_Union_Of_India_And_Ors_on_10_April_2008.PDF,1,8caaebb4-ed51-4e61-b49e-1372d9249354,Ashoka Kumar Thakur vs Union Of India And Ors on 10 April 2008.PDF,"The legal issue in the case revolves around the interpretation and application of Article 14 of the Indian Constitution, which guarantees the right to equality before the law and equal protection of the laws. The discussion in the text focuses on the concept of equality and whether the impugned law provides substantially equal treatment as required in a democratic society. The judges are tasked with determining whether the law in question aligns with the principles of equality and fairness enshrined in the Constitution, considering the historical context and the intent behind the provision.

Additionally, the text delves into the comparison between the American legal system and the Indian legal system regarding the application of equality principles. It highlights the differences in approach and interpretation between the two systems, emphasizing the unique aspects of Article 14 of the Indian Constitution compared to the 14th Amendment of the American Constitution. The legal issue also involves analyzing foreign legal precedents and their relevance to the case at hand, particularly in terms of strict classification, strict scrutiny, and narrow tailoring, and how these concepts may or may not apply in the Indian context.

Overall, the legal issue in the case involves a deep examination of the constitutional principles of equality, the historical background of the provision, the interpretation of relevant legal precedents, and the application of these principles to the specific circumstances of the case at hand.","1. Extrinsic materials are considered for interpretation but not as decisive factors.
2. The law of statutory construction may involve external assistance in cases of ambiguity.
3. Short length of debate does not invalidate a decision.
4. American cases on strict classification and scrutiny may not directly apply to cases in India.
5. The Constitution of India and the American Constitution have conceptual differences.
6. Judicial review ensures factual existence and adherence to constitutional parameters.
7. Reservation policies must align with Articles 16(4) and 16(4-A) while considering equity, justice, and efficiency.
8. The ""catch-up"" rule and ""consequential seniority"" are not constitutional requirements.
9. Backwardness and inadequacy of representation are prerequisites for reservation decisions.
10. The impugned amendments do not alter the core structure of Articles 14, 15, and 16.
11. The amendments leave it to the States to implement reservation policies within the constitutional framework.","1. Arguments have been presented regarding whether the Constitution envisions a casteless society or not.
2. The respondents argue that while the Constitution prohibits untouchability under Article 17, it does not necessarily aim for a casteless society. They emphasize non-discrimination based on caste in Articles 15 and 16.
3. The importance of education in leveling social status and eliminating caste-based discrimination is highlighted.
4. Various provisions of the Indian Constitution, such as Article 14 guaranteeing equality before the law, Article 15(1) prohibiting discrimination based on religion, caste, sex, etc., and Article 16(1) ensuring equality in job opportunities, are discussed.
5. The significance of Article 16(4) empowering the State to provide reservations for backward classes inadequately represented in government services is emphasized.
6. Reference is made to past landmark cases like Indra Sawhney No.1 and No.2, M. Nagaraj v. Union of India, and Nair Service Society v. State of Kerala to support the arguments presented in the case.","Arijit Pasayat, C.K. Thakker",Ashoka Kumar Thakur,Union of India and Ors
300,B_K_Pavitra_Ors_vs_Union_Of_India_Ors_on_9_February_2017.PDF,1,78abda90-e64d-46b6-96f8-d028265547ff,B K Pavitra Ors vs Union Of India Ors on 9 February 2017.PDF,"The legal issue in the case revolves around the constitutional validity of a notification issued by the State Government of Rajasthan, which aimed to provide consequential seniority to candidates belonging to Scheduled Castes (SCs) and Scheduled Tribes (STs) who received roster point promotions. The challenge to the notification was based on the argument that the notification did not quantify the figures of SCs and STs or provide compelling reasons such as backwardness, inadequacy of representation, and overall efficiency as required by law. The High Court's decision to overlook these mandatory requirements and instead rely on a limited mechanism for SCs and STs was considered contrary to the legal mandate established in previous court decisions, particularly the M. Nagaraj case. The issue at hand was whether the State Government's notification, which did not adhere to the specified criteria of determining backwardness, inadequacy of representation, and overall efficiency, was constitutionally valid in the context of providing consequential seniority to SCs and STs in roster point promotions.","1. The case involved the consideration of the constitutional validity of several amendments, including the 85th Amendment.
2. The High Court's judgment was criticized for not adhering to the mandatory requirement of determining factors like backwardness, inadequacy of representation, and overall efficiency in the context of reservations.
3. The Court emphasized that equality is a fundamental aspect of democracy and a basic feature of the Indian Constitution.
4. The judgment highlighted that the State must have quantifiable data to justify reservations in promotions for SCs and STs, ensuring that efficiency is maintained.
5. It was noted that reservations should be made based on identified compelling interests of backwardness and inadequacy, supported by weighty and comparable data.
6. The Court stressed that in each case, the State must provide quantifiable data to demonstrate the necessity of reservations for SCs and STs without compromising the general efficiency of service.","1. The High Court upheld the 85th Amendment but disregarded the mandatory requirement of determining backwardness, inadequacy of representation, and overall efficiency for providing consequential seniority to roster point promotees of reserved categories.
2. The High Court justified its decision by stating that the amendment had an inbuilt mechanism limiting reservations to 15% and 3% for SCs and STs respectively, eliminating the need to assess inadequacy of representation or backwardness.
3. The High Court also dismissed the necessity of determining overall efficiency by claiming that there was no evidence presented that promoting individuals from SCs and STs would impact overall efficiency.
4. The argument presented is that the High Court's reasoning contradicts established legal principles as recognized in previous court decisions, particularly in M. Nagaraj, where it was emphasized that reservations in promotions must be based on quantifiable data demonstrating backwardness and inadequacy of representation without compromising overall efficiency.","Uday Umesh Lalit, Adarsh Kumar Goel",B.K. Pavitra & Ors.,Union of India & Ors.
317,B_K_Pavitra_vs_Union_Of_India_on_10_May_2019.PDF,1,a262d228-6c5f-4053-959b-01468c3e44df,B K Pavitra vs Union Of India on 10 May 2019.PDF,"The legal issue in the case revolves around the power of the legislature to enact laws retrospectively to address deficiencies or defects pointed out by the court. The case discusses the distinction between a law that merely declares a court decision will not bind and a law that fundamentally alters the basis of an earlier legislation, making the decision inapplicable in the altered circumstances. The key question is whether the legislature can remedy the grounds for invalidity identified by the court without encroaching on judicial power. The case also delves into the concept of legislative competence and the authority of the legislature to enact new laws in areas where it has the necessary legislative competence, especially after a law has been invalidated due to lack of legislative competence. Additionally, the case touches upon the issue of fundamental rights and how the legislature must ensure that any new law enacted addresses the constitutional infirmities that led to the invalidation of the earlier law. Ultimately, the legal issue at hand is whether the legislature can effectively remedy the deficiencies identified by the court without overstepping its authority or infringing on fundamental rights.","1. Data was collected from thirty-one representative departments for analysis.
2. The State government formed an opinion based on a report submitted by an expert committee after collecting, collating, and analyzing relevant data.
3. The Ratna Prabha Committee was appointed to assess the adequacy of representation in terms of backwardness, inadequacy of representation, and overall administrative efficiency.
4. The Reservation Act 2018 was enacted after the State was satisfied with the existence of compelling reasons.
5. The Ratna Prabha Committee concluded that the requirements of backwardness and inadequacy of representation were met after conducting the necessary assessments.
6. The adequacy of representation was linked to the percentage of reservation for SCs and STs based on their population percentage.
7. The State government was considered best positioned to define and measure merit, with no fixed yardstick for identifying and measuring the factors requiring quantifiable data collection.","1. The argument that reservations are not a conflict between merit and compensatory principles, but rather a conflict between those already privileged and those still struggling in poverty and backwardness.
2. The argument that the assumption of higher efficiency in government services based on meritocracy is flawed, as efficiency is not solely determined by the selection method but by the actions taken by officials post-appointment.
3. The argument that attacking reservations based on efficiency equates merit with performance on seemingly neutral criteria, such as standardized examinations, which may not necessarily reflect actual administrative efficiency.
4. The argument regarding the creamy layer principle as a principle of equality and its implications on the homogenous groups of SCs and STs.
5. The argument that the concept of egalitarian equality expects affirmative action in favor of disadvantaged sections within the democratic framework, as established in previous judgments like Indra Sawhney.","1. Dhananjaya Y Chandrachud
2. Uday Umesh Lalit",B.K. Pavitra,The Union of India and Ors
396,Balaji_Raghavan_S_P_Anand_vs_Union_Of_India_on_15_December_1995.PDF,1,aa3ad7b4-a405-41a5-bd9a-a5cb7952276f,Balaji Raghavan S P Anand vs Union Of India on 15 December 1995.PDF,"The legal issue in the case revolves around the conferment of titles, honours, distinctions, and privileges as discussed in the context. The specific focus is on the provision of Article 18(1) which deals with the prohibition of titles and privileges that create artificial distinctions among citizens. The case delves into the debate surrounding the abolition of titles and the privileged class of title holders, as well as the differing opinions on whether titles should be allowed based on merit or profession without creating heritable distinctions. The issue at hand is whether the conferring of titles violates the fundamental principle of equality enshrined in the Constitution, and whether distinctions based on titles should be permitted or prohibited under the law.","1. The case involved two parties filing written submissions and counters in the Kerala High Court and the High Court of Madhya Pradesh (Indore Bench) between September 30, 1992, and April 7, 1994.
2. The High Court of Madhya Pradesh issued an ex-parte order on August 25, 1992, restraining the respondent from conferring National Awards until further orders. This order was later vacated on January 20, 1993.
3. The respondent filed for transfer of the cases to the Supreme Court, which was granted on March 7, 1994.
4. The case was posted before a Division Bench of the Supreme Court on September 11, 1995, with a deadline for written briefs and oral arguments. One of the petitioners failed to submit the written briefs and did not appear for the hearing.
5. Despite requests for delisting or a hearing, the petitioner who failed to comply with the court's schedule was not accommodated, emphasizing the importance of adhering to court timelines and procedures.","1. The petitioner argued that the practice of conferring National Awards has led to the creation of a privileged class similar to the British nobility, violating Article 14 of the Constitution guaranteeing equality of status.
2. The petitioner highlighted the lack of objective guidelines for selecting award recipients, leading to the awards being used as political tools by the government.
3. The Attorney General for India argued that awarding meritorious citizens is a common practice globally, even in republican and socialist countries.
4. The Attorney General contended that National Awards do not violate Article 18 of the Constitution as they are not titles of nobility and do not involve prefixes or suffixes.
5. The Attorney General provided examples of civil awards from various countries to support the legitimacy of National Awards and emphasized that they do not infringe upon the right to equality enshrined in the Constitution.","1. A.M.Ahmadi
2. Kuldip Singh
3. B.P.Jeevan Reddy
4. N.P.Singh
5. S.Saghir Ahmad",Balaji Raghavan and S.P. Anand,Union of India
410,Basheshar_Nath_vs_The_Commissioner_Of_Income_Tax_Delhi_on_19_November_1958.PDF,1,ba8d0052-0d29-41f2-8c6b-560a4927e160,Basheshar Nath vs The Commissioner Of Income Tax Delhi on 19 November 1958.PDF,"The legal issue in this case revolves around the question of whether the doctrine of waiver can be applied to fundamental rights enshrined in the Constitution. The argument presented is whether an individual can voluntarily relinquish or waive their constitutional protections, specifically in this case, the right under Article 14 of the Constitution. The contention is that if no public policy is at stake, an individual should be able to waive their fundamental rights, such as in matters related to tax liability. The case delves into the comparison with American law, where certain rights are protected by the Constitution but can be subject to waiver under specific circumstances. The discussion also touches upon the principles of waiver in American law, citing examples like self-incrimination, double jeopardy, immunity against unreasonable searches and seizures, jury trial, and due process of law. The issue at hand is significant as it raises the broader question of whether constitutional rights can be voluntarily waived by individuals and the implications this may have on legal proceedings and individual liberties.","1. The case involves a dispute between the assessee and the revenue authority regarding the settlement of tax liabilities under the Income-tax Act.
2. The learned Attorney General argued against the suggestion that the application for settlement was made under pressure, citing established facts supporting the waiver plea.
3. Three court cases were referenced to support the argument for waiver: Dewan Bahadur Seth Gopal Das Mohta v. The Union of India, Baburao Narayanrao Sanas v. The Union of India, and Laxnanappa Hanumantappa Jamkhandi v. The Union of India.
4. The decisions in these cases were based on applications made under Article 32 of the Constitution, not appeals from revenue authority orders.
5. The court's decision in Gopal Das Mohta's case emphasized that the petitioner's consent to the settlement prevented any assessment against him under the Income-tax Act.
6. The case also discussed the scope of Article 32 of the Constitution and the concept of waiver, with differing views on whether waiver was the basis of the decisions.
7. The circumstances leading to the plea of waiver included the assessee's submission to the discriminatory procedure, request for settlement, agreement to pay a portion of the tax liability, and installment payments post a relevant court decision.","1. The learned Attorney General argued that there was no foundation for the suggestion that the application for settlement was made under pressure or coercion.
2. He contended that the necessary facts supporting a plea of waiver were established, citing three court cases with similar circumstances where such pleas were accepted.
3. On the contrary, it was argued on behalf of the assessee that the necessary facts for a plea of waiver were absent in the present case, and the three referenced court decisions did not proceed on a plea of waiver.
4. The decisions referred to involved settlements under specific sections of the Act and were pronounced on applications under Article 32 of the Constitution, not appeals from revenue authority orders.
5. The argument in one of the cases was that certain sections of the Act were invalid, but the court rejected this argument stating that the petitioner's consent to the settlement precluded relief under Article 32.
6. There was debate on whether the decisions strictly relied on the doctrine of waiver or the scope of Article 32 of the Constitution.
7. The report of one case did not discuss the doctrine of waiver extensively, and it was suggested that the effect of that case did not uphold the doctrine of waiver.
8. The circumstances cited by the Attorney General as grounds for waiver included the assessee's submission to the discriminatory procedure, seeking a settlement, agreeing to pay a portion of the tax liability, and making payments even after a specific court decision.","1. Sudhi Ranjan Das (CJ)
2. Natwarlal H. Bhagwati
3. S.K. Das
4. J.L. Kapur",Basheshar Nath,"1. The Commissioner of Income-Tax, Delhi
2. The Commissioner of Income-Tax, Rajasthan"
